Time Latitude N/S Longitude E/W qulity_indicator Satelites_used
113928.21 5422.885781 N 01837.217979 E 1 12
113929.21 5422.885127 N 01837.223311 E 1 12
113930.21 5422.888536 N 01837.226273 E 1 12
113931.21 5422.888894 N 01837.222936 E 1 12
113932.21 5422.886335 N 01837.219067 E 1 12
113933.00 5422.894367 N 01837.217720 E 1 12
113934.00 5422.896252 N 01837.217491 E 1 12
113935.00 5422.892851 N 01837.214523 E 1 12
113936.00 5422.892433 N 01837.214726 E 1 12
113937.00 5422.891526 N 01837.214077 E 1 12
113938.00 5422.892675 N 01837.215437 E 1 12
113939.00 5422.891170 N 01837.212831 E 1 12
113940.00 5422.888009 N 01837.211365 E 1 12
113941.00 5422.885285 N 01837.208572 E 1 12
113942.00 5422.884341 N 01837.207786 E 1 12
